student_ID,Problem_ID,Time_problem,Original,Correct,Methods_used,Time_method,Date,Attempt_count
2425844,q1,7.0,1,0,none,0.0,2021-12-05,2
2425844,q1.1,1.0,0,1,none,0.0,2021-12-05,1
2425844,q2,7.0,0,0,none,0.0,2021-12-05,1
2425844,q2.1,4.0,0,1,none,0.0,2021-12-05,1
2425844,q3,10.0,1,1,none,0.0,2021-12-05,1
2425844,q4,1.0,1,1,none,0.0,2021-12-05,1
2425844,q5,3.0,1,1,none,0.0,2021-12-05,1
2270366,q1,12.0,1,1,none,0.0,2021-12-05,1
2270366,q2,30.0,1,0,none,0.0,2021-12-05,2
2270366,q2.1,13.0,0,1,none,0.0,2021-12-05,1
2270366,q3,15.0,1,1,none,0.0,2021-12-05,1
2270366,q4,13.0,1,1,none,0.0,2021-12-05,1
2270366,q5,4.0,1,1,none,0.0,2021-12-05,1
2466429,q1,8.0,1,1,none,0.0,2021-12-05,1
2466429,q2,38.0,1,0,none,0.0,2021-12-05,2
2466429,q2.1,5.0,0,1,none,0.0,2021-12-05,1
2466429,q2.1.1,20.0,0,0,video,2.0,2021-12-05,1
2466429,q2.1.2,10.0,0,0,solution,4.0,2021-12-05,1
2466429,q2.1.3,19.0,0,0,textbook,0.5,2021-12-05,1
2466429,q2.2,3.0,0,0,lecture,1.0,2021-12-05,1
2466429,q3,8.0,1,0,none,0.0,2021-12-05,2
2466429,q3.1,7.0,0,0,none,0.0,2021-12-05,1
2487231,q1,20.0,1,0,none,0.0,2021-12-04,3
2487231,q1.1,2.0,0,1,none,0.0,2021-12-04,1
2487231,q1.1.1,3.0,0,1,solution,3.0,2021-12-04,1
2487231,q1.2,2.0,0,1,none,0.0,2021-12-04,1
2487231,q2,26.0,1,0,none,0.0,2021-12-04,3
2487231,q2.1,13.0,0,1,none,0.0,2021-12-04,1
2487231,q2.1.1,4.0,0,1,solution,2.0,2021-12-04,1
2487231,q2.2,34.0,0,1,none,0.0,2021-12-04,1
2487231,q3,23.0,0,0,none,0.0,2021-12-04,2
2487231,q3.1,32.0,0,0,solution,5.0,2021-12-04,1
2487231,q3.1.1,1.0,0,1,none,0.0,2021-12-04,1
2487231,q3.2,15.0,0,1,none,0.0,2021-12-04,1
2487231,q4,5.0,1,0,none,0.0,2021-12-04,3
2487231,q4.1,11.0,0,0,solution,3.0,2021-12-04,1
2487231,q4.1.1,3.0,0,1,none,0.0,2021-12-04,1
2487231,q4.2,5.0,0,1,none,0.0,2021-12-04,1
2487231,q4.1.2,8.0,0,0,solution,3.0,2021-12-04,1
2487231,q4.1.3,7.0,0,0,video,5.0,2021-12-04,1
2487231,q4.3,5.0,0,1,textbook,0.0,2021-12-04,1
2487231,q5,16.0,1,1,none,0.0,2021-12-04,2
2487231,q5.1,2.0,0,0,none,0.0,2021-12-04,1
2487231,q5.1.1,2.0,0,1,solution,2.0,2021-12-04,1
2487231,q5.2,11.0,0,0,solution,1.0,2021-12-04,1
2487231,q5.1.2,2.0,0,1,none,0.0,2021-12-04,1
2487231,q5.3,7.0,0,1,none,0.0,2021-12-04,1
2489211,q1,4088.0,1,0,none,0.0,2021-12-04,2
2489211,q1.1,10.0,0,1,none,0.0,2021-12-04,1
2489211,q2,10.0,1,0,none,0.0,2021-12-05,3
2489211,q2.1,1.0,0,1,solution,2.0,2021-12-05,1
2489211,q2.1.1,7.0,0,1,none,0.0,2021-12-05,1
2489211,q2.2,3.0,0,0,solution,4.0,2021-12-05,1
2489211,q2.1.2,15.0,0,0,textbook,4.0,2021-12-05,1
2489211,q2.1.3,1.0,0,1,video,5.0,2021-12-05,1
2489211,q2.3,3.0,0,1,none,0.0,2021-12-05,1
2489211,q3,11.0,1,0,none,0.0,2021-12-05,2
2489211,q3.1,6.0,0,0,none,0.0,2021-12-05,1
2489211,q4,7.0,1,0,none,0.0,2021-12-05,1
2489211,q5,3.0,1,0,none,0.0,2021-12-05,1
2455304,q1,6.0,1,1,none,0.0,2021-12-05,1
2455304,q2,8.0,1,0,none,0.0,2021-12-05,4
2455304,q2.1,4.0,0,1,none,0.0,2021-12-05,1
2455304,q2.1.1,5.0,0,1,none,0.0,2021-12-05,1
2455304,q2.2,2.0,0,1,none,0.0,2021-12-05,1
2455304,q2.3,2.0,0,1,none,0.0,2021-12-05,1
2455304,q3,10.0,1,1,none,0.0,2021-12-05,1
2455304,q4,3.4,0,0,none,0.0,2021-12-05,3
2455304,q4.1,4.0,0,1,none,0.0,2021-12-05,1
2455304,q4.1.1,5.0,0,1,none,0.0,2021-12-05,1
2455304,q4.2,17.0,0,1,none,0.0,2021-12-05,1
2455304,q5,7.0,1,1,none,0.0,2021-12-05,1
1849534,q1,4.0,0,1,none,0.0,2021-12-05,2
1849534,q1.1,0.7,0,0,none,0.0,2021-12-05,1
1849534,q2,47.0,0,1,none,0.0,2021-12-05,3
1849534,q2.1,5.0,0,0,none,0.0,2021-12-05,1
1849534,q2.1.1,1.0,0,0,none,0.0,2021-12-05,1
1849534,q2.2,1.0,0,0,none,0.0,2021-12-05,1
1849534,q3,2.0,1,1,none,0.0,2021-12-05,1
1849534,q4,7.0,1,1,none,0.0,2021-12-05,1
2483953,q1,34.0,1,0,none,0.0,2021-12-05,3
2483953,q1.1,33.0,0,0,none,0.0,2021-12-05,1
2483953,q1.1.1,9.0,0,1,solution,6.0,2021-12-05,1
2483953,q1.2,6.0,0,1,none,0.0,2021-12-05,1
2483953,q1.1.2,0.7,0,0,none,0.0,2021-12-05,1
2483953,q1.3,17.0,0,1,none,0.0,2021-12-05,1
2483953,q2,8.0,1,0,none,0.0,2021-12-05,2
2483953,q2.1,6.0,0,1,none,0.0,2021-12-05,1
2483953,q3,1.0,1,1,none,0.0,2021-12-05,1
2483953,q4,0.8,1,1,none,0.0,2021-12-05,1
2483953,q5,2.0,1,1,none,0.0,2021-12-05,1
2483688,q1,3.0,1,1,none,0.0,2021-11-29,1
2483688,q2,25.0,1,0,none,0.0,2021-11-29,3
2483688,q2.1,3.0,0,1,none,0.0,2021-11-29,1
2483688,q2.1.1,3.0,0,0,solution,5.0,2021-11-29,1
2483688,q2.1.2,10.0,0,1,video,3.0,2021-11-29,1
2483688,q2.2,6.0,0,0,solution,4.0,2021-11-29,1
2483688,q2.1.3,3.0,0,1,none,0.0,2021-11-29,1
2483688,q2.3,7.0,0,1,none,0.0,2021-11-29,1
2483688,q3,6.0,1,1,none,0.0,2021-11-29,1
2483688,q4,0.5,1,1,none,0.0,2021-11-29,1
2483688,q5,5.0,1,1,none,0.0,2021-11-29,1
2466429,q1,28.0,1,0,none,0.0,2021-12-04,4
2466429,q1.1,6.0,0,1,none,0.0,2021-12-02,1
2466429,q1.1.1,1.0,0,1,none,0.0,2021-12-02,1
2466429,q1.2,2.0,0,1,none,0.0,2021-12-02,1
2466429,q1.1.2,1.0,0,1,none,0.0,2021-12-02,1
2466429,q1.3,0.56,0,0,explanation,3.0,2021-12-02,1
2466429,q2,45.0,1,0,none,0.0,2021-12-02,2
2466429,q2.1,21.0,0,1,none,0.0,2021-12-02,1
2466429,q3,12.0,1,1,none,0.0,2021-12-02,1
2466429,q4,5.0,1,0,none,0.0,2021-12-02,4
2466429,q4.1,44.0,0,1,none,0.0,2021-12-02,1
2466429,q4.1.1,3.0,0,1,none,0.0,2021-12-02,1
2466429,q4.2,1.0,0,1,none,0.0,2021-12-02,1
2466429,q4.1.2,13.0,0,1,none,0.0,2021-12-02,1
2466429,q4.3,24.0,0,1,solution,8.0,2021-12-02,1
2466429,q4.1.3,4.0,0,1,none,0.0,2021-12-02,1
2466429,q5,5.0,1,0,none,0.0,2021-12-02,2
2466429,q5.1,2.0,0,0,none,0.0,2021-12-02,1
2466429,q5.1.1,2.0,0,1,none,0.0,2021-12-02,1
2466429,q5.2,5.0,0,1,solution,6.0,2021-12-02,1
2328014,q1,37.0,1,0,none,0.0,2021-12-04,2
2328014,q1.1,4.0,0,0,none,0.0,2021-12-04,1
2328014,q1.1.1,2.0,0,1,solution,3.0,2021-12-04,1
2328014,q1.2,1.0,0,0,solution,4.0,2021-12-04,1
2328014,q1.1.2,2.0,0,1,solution,2.0,2021-12-04,1
2328014,q1.1.3,3.0,0,1,none,0.0,2021-12-04,1
2328014,q1.3,1.0,0,1,none,0.0,2021-12-04,1
2328014,q2,9.0,1,0,none,0.0,2021-12-04,3
2328014,q2.1,7.0,0,0,none,0.0,2021-12-04,1
2328014,q2.1.1,3.0,0,0,solution,5.0,2021-12-04,1
2328014,q2.1.2,8.0,0,0,video,2.0,2021-12-04,1
2328014,q2.2,5.0,0,0,none,9.0,2021-12-04,1
2246349,q1,4.0,1,0,none,0.0,2021-12-03,2
2246349,q1.1,1.0,0,0,none,0.0,2021-12-03,1
2246349,q1.1.1,1.0,0,1,none,0.0,2021-12-03,1
2246349,q1.2,1.0,0,0,solution,2.0,2021-12-03,1
2246349,q1.1.2,0.34,0,1,none,0.0,2021-12-03,1
2246349,q1.3,1.0,0,0,solution,1.0,2021-12-03,1
2246349,q1.1.3,1.0,0,1,lecture,2.0,2021-12-03,1
2246349,q2,7.0,1,0,none,0.0,2021-12-03,3
2246349,q2.1,1.0,0,0,solution,2.0,2021-12-03,1
2246349,q2.1.1,3.0,0,0,solution,1.0,2021-12-03,1
2246349,q2.1.2,5.0,0,0,video,2.0,2021-12-03,1
2246349,q2.1.3,3.0,0,0,lecture,1.0,2021-12-04,1
2246349,q2.2,2.0,0,0,solution,1.0,2021-12-04,1
2246349,q2.3,2.0,0,0,explanation,2.0,2021-12-04,1
2246349,q3,13.0,1,0,none,0.0,2021-12-04,3
2246349,q3.1,4.0,0,0,solution,2.0,2021-12-04,1
2246349,q3.1.1,2.0,0,1,none,0.0,2021-12-04,1
2246349,q3.2,7.0,0,0,solution,1.0,2021-12-04,1
2246349,q3.1.2,1.0,0,0,none,0.0,2021-12-04,1
2246349,q3.3,3.0,0,1,video,3.0,2021-12-04,1
2246349,q4,12.0,1,1,none,0.0,2021-12-04,1
2246349,q5,2.0,1,1,none,0.0,2021-12-04,1
1603806,q1,4.0,1,1,none,0.0,2021-12-01,2
1603806,q1.1,1.0,0,0,solution,1.0,2021-12-01,1
1603806,q1.1.1,1.0,0,0,video,4.0,2021-12-01,1
1603806,q1.1.2,2.0,0,1,solution,1.0,2021-12-01,1
1603806,q1.2,0.4,0,0,solution,2.0,2021-12-01,1
1603806,q1.1.3,3.0,0,1,none,0.0,2021-12-01,1
1603806,q1.3,1.0,0,0,solution,3.0,2021-12-01,1
1603806,q2,10.0,1,0,none,0.0,2021-12-01,2
1603806,q2.1,12.0,0,1,none,0.0,2021-12-01,1
1603806,q3,9.0,1,1,none,0.0,2021-12-01,1
1603806,q4,3.0,1,1,none,0.0,2021-12-01,1
1603806,q5,29.0,1,0,none,0.0,2021-12-01,2
1603806,q5.1,1.0,0,1,none,0.0,2021-12-01,1
2429308,q1,24.0,1,1,explanation,3.0,2021-10-20,1
2429308,q2,26.0,0,0,none,0.0,2021-10-20,2
2429308,q2.1,13.0,0,1,none,0.0,2021-10-20,1
2429308,q3,12.0,1,1,none,0.0,2021-10-20,1
2429308,q4,4.0,1,0,none,0.0,2021-10-20,2
2429308,q4.1,13.0,0,1,none,0.0,2021-10-20,1
2429308,q5,6.0,1,1,none,0.0,2021-10-20,1
2443377,q1,3.0,1,1,none,0.0,2021-11-29,1
2443377,q2,25.0,1,0,none,0.0,2021-11-29,3
2443377,q2.1,3.0,0,1,none,0.0,2021-11-29,1
2443377,q2.1.1,3.0,0,0,solution,2.0,2021-11-29,1
2443377,q2.1.2,10.0,0,1,video,3.0,2021-11-29,1
2443377,q2.2,6.0,0,0,solution,2.0,2021-11-29,1
2443377,q2.1.3,3.0,0,1,none,0.0,2021-11-29,1
2443377,q2.3,7.0,0,1,none,0.0,2021-11-29,1
2443377,q3,6.0,1,1,none,0.0,2021-11-29,1
2443377,q4,0.46,1,1,none,0.0,2021-11-29,1
2443377,q5,5.0,1,1,none,0.0,2021-11-29,1
2431095,q1,26.0,1,0,none,0.0,2021-12-02,4
2431095,q1.1,6.0,0,1,none,0.0,2021-12-02,1
2431095,q1.1.1,1.0,0,1,none,0.0,2021-12-02,1
2431095,q1.2,2.0,0,1,none,0.0,2021-12-02,1
2431095,q1.1.2,1.0,0,1,none,0.0,2021-12-02,1
2431095,q1.3,0.57,0,1,explanation,1.0,2021-12-02,1
2431095,q2,40.0,1,0,none,0.0,2021-12-02,2
2431095,q2.1,5.0,0,1,none,0.0,2021-12-02,1
2431095,q3,12.0,1,1,none,0.0,2021-12-02,1
2431095,q4,4.0,1,0,none,0.0,2021-12-02,2
2431095,q4.1,0.3,0,1,none,0.0,2021-12-02,1
2431095,q4.1.1,3.0,0,1,none,0.0,2021-12-02,1
2431095,q4.2,3.0,0,1,none,0.0,2021-12-02,1
2431095,q4.1.2,13.0,0,1,none,0.0,2021-12-02,1
2431095,q4.3,24.0,0,0,solution,8.0,2021-12-02,1
2431095,q4.1.3,4.0,0,1,none,0.0,2021-12-02,1
2431095,q4.3,8.0,0,1,none,0.0,2021-12-02,1
2431095,q5,5.0,1,1,none,0.0,2021-12-02,1
2242332,q1,1.0,1,1,none,0.0,2021-12-04,1
2242332,q2,2.0,1,0,none,0.0,2021-12-04,2
2242332,q2.1,8.0,0,0,solution,2.0,2021-12-04,1
2242332,q2.1.1,3.0,0,1,video,3.0,2021-12-04,1
2242332,q2.1.2,11.0,0,0,textbook,4.0,2021-12-04,1
2242332,q2.1.3,2.0,0,0,lecture,2.0,2021-12-04,1
2242332,q2.2,2.0,0,0,solution,1.0,2021-12-04,1
2242332,q2.3,4.0,0,1,explanation,4.0,2021-12-04,1
2242332,q3,13.0,1,0,none,0.0,2021-12-04,2
2242332,q3.1,4.0,0,0,solution,2.0,2021-12-04,1
2242332,q3.1.1,2.0,0,1,none,0.0,2021-12-04,1
2242332,q3.2,7.0,0,0,solution,3.0,2021-12-04,1
2242332,q3.1.2,1.0,0,1,none,0.0,2021-12-04,1
2242332,q3.3,3.0,0,0,none,0.0,2021-12-04,1
2242332,q4,12.0,1,1,none,0.0,2021-12-04,1
2242332,q5,10.0,1,1,none,0.0,2021-12-04,1
2443532,q1,4976.0,1,1,none,0.0,2021-10-29,1
2443532,q2,35.0,1,0,none,0.0,2021-12-01,2
2443532,q2.1,5.0,0,1,none,0.0,2021-12-01,1
2443532,q3,17.0,1,1,none,0.0,2021-12-01,1
2443532,q4,12.0,1,1,none,0.0,2021-12-01,1
2443532,q5,14.0,1,1,none,0.0,2021-12-01,1
